date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:23:21	45489/45489	---MCZ	200	added ('OK')	text/html	etag:W/%22b1b1-5b5541cb41ec0%22	http://paul-themes.com/html/gilber/?storefront=envato-elements	C:/Users/EVASERIES/Documents/cv/paul-themes.com/html/gilber/index04b9.html	(from )
09:23:21	275/275	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jan%202024%2002:23:04%20GMT	http://paul-themes.com/robots.txt		(from )
09:23:21	1644/1644	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fc506ab-66c%22	http://paul-themes.com/html/gilber/assets/img/root/favicon.svg	C:/Users/EVASERIES/Documents/cv/paul-themes.com/html/gilber/assets/img/root/favicon.svg	(from http://paul-themes.com/html/gilber/?storefront=envato-elements)
09:23:22	153136/153136	---MCZ	200	added ('OK')	text/css	etag:W/%225fc5069e-25630%22	http://paul-themes.com/html/gilber/assets/css/framework/bootstrap.min.css	C:/Users/EVASERIES/Documents/cv/paul-themes.com/html/gilber/assets/css/framework/bootstrap.min.css	(from http://paul-themes.com/html/gilber/?storefront=envato-elements)
09:23:22	388/388	---MCZ	200	added ('OK')	text/css	etag:W/%225fc506ae-184%22	http://paul-themes.com/html/gilber/assets/fonts/Gilroy/style.css	C:/Users/EVASERIES/Documents/cv/paul-themes.com/html/gilber/assets/fonts/Gilroy/style.css	(from http://paul-themes.com/html/gilber/?storefront=envato-elements)
09:23:23	56126/56126	---MCZ	200	added ('OK')	text/css	etag:W/%225fc506da-db3e%22	http://paul-themes.com/html/gilber/assets/fonts/LineIcons/Pro-Regular/font-css/LineIcons.css	C:/Users/EVASERIES/Documents/cv/paul-themes.com/html/gilber/assets/fonts/LineIcons/Pro-Regular/font-css/LineIcons.css	(from http://paul-themes.com/html/gilber/?storefront=envato-elements)
09:23:24	127754/127754	---MCZ	200	added ('OK')	text/css	etag:W/%225fc50673-1f30a%22	http://paul-themes.com/html/gilber/assets/css/vlt-plugins.min.css	C:/Users/EVASERIES/Documents/cv/paul-themes.com/html/gilber/assets/css/vlt-plugins.min.css	(from http://paul-themes.com/html/gilber/?storefront=envato-elements)
09:23:24	49742/49742	---MCZ	200	added ('OK')	text/css	etag:W/%226065845e-c24e%22	http://paul-themes.com/html/gilber/assets/css/vlt-main.min.css	C:/Users/EVASERIES/Documents/cv/paul-themes.com/html/gilber/assets/css/vlt-main.min.css	(from http://paul-themes.com/html/gilber/?storefront=envato-elements)
09:23:24	0/0	---M--	200	added ('OK')	text/css	etag:%225fc50672-0%22	http://paul-themes.com/html/gilber/assets/css/custom.css	C:/Users/EVASERIES/Documents/cv/paul-themes.com/html/gilber/assets/css/custom.7.delayed	(from http://paul-themes.com/html/gilber/?storefront=envato-elements)
09:23:25	45489/45489	---MCZ	200	added ('OK')	text/html	etag:W/%22b1b1-5b5541cb41ec0%22	http://paul-themes.com/html/gilber/index.html	C:/Users/EVASERIES/Documents/cv/paul-themes.com/html/gilber/index.html	(from http://paul-themes.com/html/gilber/?storefront=envato-elements)
